shapeid,x,y,address
254,-73.857634276,40.8102670797,1503 UNDERHILL AVENUE
255,-73.8319422639,40.6948218733,32-010 91 AVENUE
256,-73.7496891007,40.776055087,237 HOLLYWOOD AVENUE
257,-73.8298518238,40.789863957,22 POINT CRESCENT
258,-73.8402271856,40.7127687993,51 SHORTHILL ROAD
259,-73.8456079421,40.7153290875,94 GROTON STREET
260,-73.8381960898,40.7118830062,234 GREENWAY NORTH
261,-73.8841330194,40.704054965,2785 CENTRAL AVENUE
262,-73.7461624347,40.7763098965,370 HOLLYWOOD AVENUE
263,-73.9583423004,40.5819259309,49 HOLT COURT
264,-73.7387405532,40.6002939054,337 MEEHAN AVENUE
265,-73.7506585582,40.7807950064,321 KENMORE ROAD
266,-73.7417491374,40.5980534103,641 JARVIS AVENUE
267,-73.8403115479,40.8826431649,1 CARDINAL SPELLMAN PLACE
268,-73.7472681722,40.774351704,307 RIDGE ROAD
269,-73.747070419,40.7761677042,336 HOLLYWOOD AVENUE
270,-73.7504507066,40.7791337849,320 RICHMOND ROAD
271,-73.9629252169,40.6349813548,40 NEWKIRK PLAZA
272,-73.7293378632,40.6635960371,250-011 HOOK CREEK BOULEVARD
273,-73.8620180741,40.677138042,106-24 RUBY STREET
274,-73.8660324552,40.6826400471,335 ELDERT LANE
275,-73.8412395796,40.6948231876,176 88 AVENUE
276,-73.8990717214,40.7204219049,45 59 AVENUE
277,-73.7523801939,40.7764597332,600 WEST DRIVE
278,-73.9613728642,40.5804807384,17 BRIGHTON 7 LANE
279,-73.8415405244,40.6947269733,165 88 AVENUE
280,-73.9194231925,40.5606518728,109 ROCKAWAY POINT BOULEVARD
281,-73.7399084834,40.7535220372,63-061 DOUGLASTON PARKWAY
282,-73.7495442623,40.7789021308,335 WARWICK AVENUE
283,-73.9061631181,40.7086879129,578 GRANDVIEW AVENUE
284,-73.8310349473,40.7111095262,119 82 AVENUE
285,-73.8301534843,40.70494804,310 BREVOORT STREET
286,-73.9028682061,40.8765385831,3001 ALBANY CRESCENT
287,-73.9024747207,40.895168599,3 INDIAN ROAD
288,-73.8575239279,40.8098762141,1509 UNDERHILL AVENUE
289,-73.8638243245,40.6807296579,97-12 DREW STREET
290,-73.8406900187,40.6950819317,191 88 AVENUE
291,-73.8426447613,40.710324146,254 75 ROAD
292,-73.7795306793,40.7358868446,192-045 71 CRESCENT
293,-73.8312836181,40.7113807908,122 82 AVENUE
294,-73.7378668277,40.7699757639,9 CORNELL LANE
295,-73.8409138974,40.7158448953,60 GREENWAY NORTH
296,-73.7282836548,40.6568683141,147-020 FRANCIS LEWIS BOULEVARD
297,-73.825191823,40.7936001626,90 PARSONS BOULEVARD
298,-73.8461134888,40.7188043589,5 DARTMOUTH STREET
299,-73.8441388345,40.7183586383,26 GREENWAY TERRACE
300,-73.7497874323,40.7802488481,349 KNOLLWOOD AVENUE
301,-73.8377670799,40.7137121292,39 UNDERWOOD ROAD
302,-73.8623498263,40.678412155,105-24 RUBY STREET
303,-73.8441978516,40.71847848,18 GREENWAY TERRACE
304,-73.8478595441,40.8144294391,55 HOWE AVENUE
305,-73.8296133059,40.7124631549,20 KEW GARDENS ROAD
306,-73.928033297,40.8127403615,9 CANAL PLACE
307,-73.8492089844,40.8142085345,311 TORRY AVENUE
308,-73.8404068737,40.7171201503,158 BURNS STREET
309,-73.7403992284,40.5984509074,603 JARVIS AVENUE
310,-73.8295695282,40.7902545414,39 141 STREET
311,-73.8426207454,40.7131105718,145 GREENWAY SOUTH
312,-73.8441030233,40.7182917093,30 GREENWAY TERRACE
313,-73.8481286137,40.7159223573,19 GROTON STREET
314,-73.7471396109,40.6020187137,4 HURLEY COURT
315,-73.7498903769,40.7788195048,329 WARWICK AVENUE
316,-73.8266861542,40.7942579653,98 MALBA DRIVE
317,-73.8397112864,40.7119706457,41 WENDOVER ROAD
318,-73.7487115396,40.7699798059,9 40 AVENUE
319,-73.8557622135,40.8087082361,2 DUNE COURT
320,-73.9754547331,40.6585807844,2 11 AVENUE
321,-73.9732913384,40.7940918609,20 POMANDER WALK
322,-73.8399009597,40.715008056,102 GREENWAY NORTH
323,-73.8422142176,40.6945620362,145 88 AVENUE
324,-73.7444527391,40.6579960704,240-012 146 AVENUE
325,-73.8448471308,40.718379711,7 GREENWAY TERRACE
326,-73.8391424031,40.7112905982,70 ROCKROSE PLACE
327,-73.7403863533,40.7534811161,63-069 DOUGLASTON PARKWAY
328,-73.7774502763,40.716669348,186-018 CHELSEA STREET
329,-73.8292106916,40.7910730883,36 141 STREET
330,-73.9251874032,40.6379668802,15 PRESTON COURT
331,-73.8411379407,40.7169106111,26 ASCAN AVENUE
332,-73.847028529,40.7185746455,45 TENNIS PLACE
333,-73.9172946602,40.7777349006,137 23 AVENUE
334,-73.9062237024,40.700605662,5610 PUTNAM AVENUE
335,-73.8477255928,40.813857709,320 HOWE AVENUE
336,-73.9615091454,40.580919895,26 BRIGHTON 7 COURT
337,-73.8128874205,40.7585014692,224 CHERRY AVENUE
338,-73.7481211392,40.77559413,303 ARLEIGH ROAD
339,-73.834583928,40.7084069744,127 AUDLEY STREET
340,-73.8295417591,40.7061559224,82-008 BREVOORT STREET
341,-73.8420034125,40.7156504914,80 ASCAN AVENUE
342,-73.8570157249,40.8086673404,1624 UNDERHILL AVENUE
343,-73.8271163505,40.7920187273,74 MALBA DRIVE
344,-73.8777693165,40.7059926214,1-033 73 STREET
345,-73.8395584479,40.7125021188,21 WENDOVER ROAD
346,-73.9364551808,40.7509340627,29-001 41 AVENUE
347,-73.7509142572,40.7748183606,140 ARLEIGH ROAD
348,-73.8410718552,40.7148878437,48 SEASONGOOD ROAD
349,-73.8393814034,40.7112533907,82 ROCKROSE PLACE
350,-73.7511451843,40.7729952385,101 FOREST ROAD
351,-73.7477605352,40.7774717313,344 BEVERLY ROAD
352,-73.8456093432,40.7149858954,101 GROTON STREET
353,-73.8660213975,40.6825914006,337 ELDERT LANE
354,-73.7504221166,40.7749324336,200 ARLEIGH ROAD
355,-73.8279949899,40.7908908509,28 NORTH DRIVE
356,-73.8424801649,40.7149659986,112 ASCAN AVENUE
357,-73.8136850762,40.7587574474,103 BEECH AVENUE
358,-73.8308634542,40.653379774,9 DAVENPORT COURT
359,-73.8632992149,40.6797432344,469 DREW STREET
360,-73.7482593977,40.7766792957,312 MANOR ROAD
361,-73.8250744231,40.7934013299,86 PARSONS BOULEVARD
362,-73.841611459,40.7171467923,25 ASCAN AVENUE
363,-73.9962889413,40.7317729355,68 WASHINGTON MEWS
364,-73.8476506232,40.8135359195,312 HOWE AVENUE
365,-73.8383724455,40.7153177272,265 BURNS STREET
366,-73.8396248268,40.716635335,190 BURNS STREET
367,-73.9733957293,40.7939475167,17 POMANDER WALK
368,-73.8444901162,40.7187458974,8 GREENWAY TERRACE
369,-73.8768443547,40.7054320066,72-004 73 PLACE
370,-73.9057571864,40.7010549355,5624 PUTNAM AVENUE
371,-73.9358142957,40.5837390739,4 SHALE STREET
372,-73.9636884156,40.5794212772,10 BRIGHTON 4 PLACE
373,-73.7462110506,40.7725523005,324 38 ROAD
374,-73.8073944017,40.8222441942,28 HARDING AVENUE
375,-73.8427508393,40.7100468253,262 75 ROAD
376,-73.7478988441,40.6003205894,13-032 GRANDVIEW TERRACE
377,-73.8365676398,40.7142108435,340 BURNS STREET
378,-73.8293061071,40.7126666547,41 KEW GARDENS ROAD
379,-73.751152504,40.7800325044,311 KNOLLWOOD AVENUE
380,-73.7511582128,40.774781984,130 ARLEIGH ROAD
381,-73.7323036288,40.746986309,242-023 OAK PARK DRIVE
382,-73.8779255098,40.7055529262,2969 CENTRAL AVENUE
383,-73.7514816924,40.7740363619,118 PARK LANE
384,-73.8816150924,40.7043481959,2858 CENTRAL AVENUE
385,-73.8018888305,40.7714219585,162-012 BAYSIDE LANE
386,-73.8367187617,40.71284757,45 DEEPDENE ROAD
387,-73.9174517701,40.7778456799,131 23 AVENUE
388,-73.9170190161,40.7244030861,
389,-73.8422005531,40.7125337049,56 INGRAM STREET
390,-73.7477652398,40.7767684629,328 MANOR ROAD
391,-73.8358586783,40.7083384014,136 AUDLEY STREET
392,-73.8429016419,40.7150292502,115 ASCAN AVENUE
393,-73.9279564366,40.8128507726,11 CANAL PLACE
394,-73.8325431699,40.6563861245,16 BAYVIEW AVENUE
395,-73.8156361776,40.8402494797,3391-05 COUNTRY CLUB ROAD
396,-73.7508866787,40.7734275411,30 RIDGE ROAD
397,-73.8130841968,40.7581852206,217 CHERRY AVENUE
398,-73.9042132979,40.7025516858,5804 PUTNAM AVENUE
399,-73.842747609,40.7127621801,38 INGRAM STREET
