shapeid,x,y,address
339,-73.834583928,40.7084069744,127 audley street
340,-73.8295417591,40.7061559224,82-008 brevoort street
341,-73.8420034125,40.7156504914,80 ascan avenue
342,-73.8570157249,40.8086673404,1624 underhill avenue
343,-73.8271163505,40.7920187273,74 malba drive
344,-73.8777693165,40.7059926214,1-033 73rd street
345,-73.8395584479,40.7125021188,21 wendover road
346,-73.9364551808,40.7509340627,29-001 41st avenue
347,-73.7509142572,40.7748183606,140 arleigh road
348,-73.8410718552,40.7148878437,48 seasongood road
349,-73.8393814034,40.7112533907,82 rockrose place
350,-73.7511451843,40.7729952385,101 forest road
351,-73.7477605352,40.7774717313,344 beverly road
352,-73.8456093432,40.7149858954,101 groton street
353,-73.8660213975,40.6825914006,337 eldert lane
354,-73.7504221166,40.7749324336,200 arleigh road
355,-73.8279949899,40.7908908509,28 north drive
356,-73.8424801649,40.7149659986,112 ascan avenue
357,-73.8136850762,40.7587574474,103 beech avenue
358,-73.8308634542,40.653379774,9 davenport court
359,-73.8632992149,40.6797432344,469 drew street
360,-73.7482593977,40.7766792957,312 manor road
361,-73.8250744231,40.7934013299,86 parsons boulevard
362,-73.841611459,40.7171467923,25 ascan avenue
363,-73.9962889413,40.7317729355,68 washington mews
364,-73.8476506232,40.8135359195,312 howe avenue
365,-73.8383724455,40.7153177272,265 burns street
366,-73.8396248268,40.716635335,190 burns street
367,-73.9733957293,40.7939475167,17 pomander walk
368,-73.8444901162,40.7187458974,8 greenway terrace
369,-73.8768443547,40.7054320066,72-004 73rd place
370,-73.9057571864,40.7010549355,5624 putnam avenue
371,-73.9358142957,40.5837390739,4 shale street
372,-73.9636884156,40.5794212772,10 brighton 4th place
373,-73.7462110506,40.7725523005,324 38th road
374,-73.8073944017,40.8222441942,28 harding avenue
375,-73.8427508393,40.7100468253,262 75th road
376,-73.7478988441,40.6003205894,13-032 grandview terrace
377,-73.8365676398,40.7142108435,340 burns street
378,-73.8293061071,40.7126666547,41 kew gardens road
379,-73.751152504,40.7800325044,311 knollwood avenue
380,-73.7511582128,40.774781984,130 arleigh road
381,-73.7323036288,40.746986309,242-023 oak park drive
382,-73.8779255098,40.7055529262,2969 central avenue
383,-73.7514816924,40.7740363619,118 park lane
384,-73.8816150924,40.7043481959,2858 central avenue
